execution,t,h,dt,delta_dt,b,Armed_Status,Wind_Speed,Humidity,Vibration,Action
1,0,0.0,67.0,0.0,100.0,False,10.0,60.0,0.0,-
1,1,0.0,67.0,0.0,100.0,True,10.1,60.5,0.52,takeoff_act (Takeoff)
1,2,107.2,67.0,0.0,90.0,True,9.8,60.3,0.47,checkstatus_act (Checkstatus)
1,3,104.3,67.0,0.0,89.0,True,9.1,61.0,0.54,manoeuvre_act (Flying)
1,4,105.9,28.0,39.0,80.0,True,9.1,61.5,0.52,checkstatus_act (Checkstatus)
1,4,104.9,28.0,39.0,78.0,True,9.0,61.1,0.51,manoeuvre_act (Flying)
1,5,105.1,0.0,28.0,60.0,True,8.6,61.4,0.54,checkstatus_act (Checkstatus)

1,5,102.1,0.0,28.0,58.0,True,8.1,62.4,0.53,land_act (Landing)
1,6,0.0,0.0,0.0,30.0,True,8.8,60.6,0.53,shutdown_act (Shutdown)
1,7,0.0,0.0,0.0,25.0,False,8.4,59.1,0.0,-
2,0,0.0,318.0,0.0,91.0,False,9.2,58.6,0.0,-
2,1,0.0,318.0,0.0,87.0,True,8.8,59.5,0.54,takeoff_act (Takeoff)
2,2,108.9,318.0,0.0,85.0,True,8.6,59.7,0.53,checkstatus_act (Checkstatus)
2,3,106.6,318.0,0.0,80.0,True,9.0,58.5,0.5,manoeuvre_act (Flying)
2,4,107.4,15.0,303,75.0,True,8.4,58.7,0.51,manoeuvre_act (Flying)
2,5,104.5,0.0,15.0,62.0,True,8.6,59.1,0.56,land_act (Landing)
2,6,0.0,0.0,0.0,34.0,True,9.2,58.2,0.47,shutdown_act (Shutdown)
2,7,0.0,0.0,0.0,20.0,False,8.4,58.4,0.0,-
3,0,0.0,100.0,0.0,100.0,False,8.5,58.4,0.49,-
3,1,0.0,100.0,0.0,96.0,True,8.7,57.3,0.49,takeoff_act (Takeoff)
3,2,108.1,100.0,0.0,90.0,True,9.1,57.7,0.55,checkstatus_act (Checkstatus)
3,3,105.8,100.0,0.0,84.0,True,8.5,58.2,0.54,manoeuvre_act (Flying)
3,4,103.7,50.0,50.0,80.0,True,7.8,59.3,0.54,manoeuvre_act (Flying)
3,5,107.2,0.0,50.0,72.0,True,8.1,60.4,0.57,land_act (Landing)
3,6,0.0,0.0,0.0,30.0,True,8.2,59.0,0.5,shutdown_act (Shutdown)
3,7,0.0,0.0,0.0,29.0,False,8.4,58.1,0.0,-
